feature,coefficient,odds_ratio
shot_type_slap,-0.8642503000876601,0.4213673332949955
score_diff_shooter,0.7135152985612631,2.041153927275306
shot_type_poke,0.5312797055870367,1.7011078335046679
shot_type_wrap-around,-0.5310863832139162,0.5879658663380967
shot_type_wrist,-0.4664305514647651,0.6272371680206416
shot_type_tip-in,-0.4409462439487406,0.6434272937538974
shot_type_backhand,-0.2640041919502138,0.76797032035661
shot_type_unknown,0.2604496207662541,1.2975133444777027
shot_distance,-0.2098642277525445,0.8106943082865494
shot_type_snap,-0.20329716556135785,0.8160357076818954
shot_angle,-0.18013537595169962,0.8351571435649822
abs_shot_angle,-0.18013537595169962,0.8351571435649822
shot_type_bat,-0.17679444600378805,0.8379520112059832
empty_net,0.15042236816809934,1.1623250681762454
rush_flag,-0.12908526841160972,0.8788990200269828
home_away_home,0.1280321260840439,1.1365895162808615
shot_type_between-legs,-0.10129867012276828,0.9036630954090941
is_pp,-0.08391642219767637,0.9195081033502144
is_sh,0.08391642219767637,1.0875379959747113
period,0.07209583374968358,1.0747583372500855
shot_type_deflected,0.021338220949972106,1.0215675087470886
shot_type_cradle,-0.010498587531489266,0.9895563302840682
rebound_flag,-0.0034318792725923303,0.9965740028941924
same_team_prev_shot_flag,-0.0034318792725923303,0.9965740028941924
time_since_prev_event_seconds,0.0,1.0
is_3v3,0.0,1.0
is_ev,0.0,1.0
